date,week,observer,parent_id,pedal_disc_diameter_mm,pedal_disc_area_mm2,image_id,FvFm,health_note,genotype,temp,parent_id,tub_id
2026-02-25,W3,Grady,P1_VWA_32_Tub2,6.265,, IMG_0027,0.59,healthy,VWA,32,P1_VWA_32_Tub2,VWA_32_Tub2
2026-02-25,W3,Grady,P2_VWA_32_Tub2,2.779,, IMG_0027,0.573,healthy,VWA,32,P2_VWA_32_Tub2,VWA_32_Tub2
2026-02-25,W3,Grady,P3_VWA_32_Tub2,6.083,, IMG_0028,0.83,healthy,VWA,32,P3_VWA_32_Tub2,VWA_32_Tub2
2026-02-25,W3,Grady,P1_VWA_32_Tub3,10.427,, IMG_0029,0.461,healthy,VWA,32,P1_VWA_32_Tub3,VWA_32_Tub3
2026-02-25,W3,Grady,P2_VWA_32_Tub3,6.551,, IMG_0030,0.685,healthy,VWA,32,P2_VWA_32_Tub3,VWA_32_Tub3
2026-02-25,W3,Grady,P3_VWA_32_Tub3,8.014,, IMG_0030,0.715,healthy,VWA,32,P3_VWA_32_Tub3,VWA_32_Tub3
2026-03-04,W4,Grady,P1_H2_25_Tub1,9.818,63.209, IMG_0001,0.606,healthy,H2,25,P1_H2_25_Tub1,H2_25_Tub1
2026-03-04,W4,Grady,P2_H2_25_Tub1,6.819,42.153, IMG_0002,0.585,healthy,H2,25,P2_H2_25_Tub1,H2_25_Tub1
2026-03-04,W4,Grady,P3_H2_25_Tub1,7.711,51.401, IMG_0003,0.609,healthy,H2,25,P3_H2_25_Tub1,H2_25_Tub1
2026-03-04,W4,Grady,P1_H2_25_Tub2,8.37,61.228, IMG_0004,0.692,healthy,H2,25,P1_H2_25_Tub2,H2_25_Tub2
2026-03-04,W4,Grady,P2_H2_25_Tub2,5.635,N/A, IMG_0005,0.742,healthy,H2,25,P2_H2_25_Tub2,H2_25_Tub2
2026-03-04,W4,Grady,P3_H2_25_Tub2,6.208,35.887, IMG_0006,0.662,healthy,H2,25,P3_H2_25_Tub2,H2_25_Tub2
2026-03-04,W4,Grady,P1_H2_25_Tub3,8.036,53.553, IMG_0007,0.59,healthy,H2,25,P1_H2_25_Tub3,H2_25_Tub3
2026-03-04,W4,Grady,P2_H2_25_Tub3,7.137,37.395, IMG_0007,0.521,healthy,H2,25,P2_H2_25_Tub3,H2_25_Tub3
2026-03-04,W4,Grady,P3_H2_25_Tub3,8.048,51.627, IMG_0008,0.839,healthy,H2,25,P3_H2_25_Tub3,H2_25_Tub3
2026-03-04,W4,Grady,P1_VWA_25_Tub1,7.178,30.941, IMG_0009,0.779,healthy,VWA,25,P1_VWA_25_Tub1,VWA_25_Tub1
2026-03-04,W4,Grady,P2_VWA_25_Tub1,7.337,43.006, IMG_0010,0.774,healthy,VWA,25,P2_VWA_25_Tub1,VWA_25_Tub1
2026-03-04,W4,Grady,P3_VWA_25_Tub1,6.363,33.99, IMG_0011,0.772,healthy,VWA,25,P3_VWA_25_Tub1,VWA_25_Tub1
2026-03-04,W4,Grady,P1_VWA_25_Tub2,9.186,69.914, IMG_0012,0.673,healthy,VWA,25,P1_VWA_25_Tub2,VWA_25_Tub2
2026-03-04,W4,Grady,P2_VWA_25_Tub2,7.98,52.318, IMG_0013,0.602,healthy,VWA,25,P2_VWA_25_Tub2,VWA_25_Tub2
2026-03-04,W4,Grady,P3_VWA_25_Tub2,4.995,26.504, IMG_0014,0.665,healthy,VWA,25,P3_VWA_25_Tub2,VWA_25_Tub2
2026-03-04,W4,Grady,P1_VWA_25_Tub3,9.482,67.539, IMG_0015,0.551,healthy,VWA,25,P1_VWA_25_Tub3,VWA_25_Tub3
2026-03-04,W4,Grady,P2_VWA_25_Tub3,7.845,49.248, IMG_0016,0.737,healthy,VWA,25,P2_VWA_25_Tub3,VWA_25_Tub3
2026-03-04,W4,Grady,P3_VWA_25_Tub3,8.328,57.624, IMG_0017,0.763,healthy,VWA,25,P3_VWA_25_Tub3,VWA_25_Tub3
2026-03-04,W4,Grady,P1_H2_32_Tub1,5.976,30.161, IMG_0018,0.664,healthy,H2,32,P1_H2_32_Tub1,H2_32_Tub1
2026-03-04,W4,Grady,P2_H2_32_Tub1,7.207,42.066, IMG_0019,0.518,healthy,H2,32,P2_H2_32_Tub1,H2_32_Tub1
2026-03-04,W4,Grady,P3_H2_32_Tub1,8.822,60.1, IMG_0020,0.573,healthy,H2,32,P3_H2_32_Tub1,H2_32_Tub1
2026-03-04,W4,Grady,P1_H2_32_Tub2,7.37,42.649, IMG_0021,0.663,healthy,H2,32,P1_H2_32_Tub2,H2_32_Tub2
2026-03-04,W4,Grady,P2_H2_32_Tub2,6.615,35.325, IMG_0022,0.625,healthy,H2,32,P2_H2_32_Tub2,H2_32_Tub2
2026-03-04,W4,Grady,P3_H2_32_Tub2,6.373,33.63, IMG_0023,0.538,healthy,H2,32,P3_H2_32_Tub2,H2_32_Tub2
2026-03-04,W4,Grady,P1_H2_32_Tub3,6.26,33.177, IMG_0024,0.457,healthy,H2,32,P1_H2_32_Tub3,H2_32_Tub3
2026-03-04,W4,Grady,P2_H2_32_Tub3,7.55,N/A, IMG_0025,0.509,healthy,H2,32,P2_H2_32_Tub3,H2_32_Tub3
2026-03-04,W4,Grady,P3_H2_32_Tub3,8.368,54.178, IMG_0026,0.633,healthy,H2,32,P3_H2_32_Tub3,H2_32_Tub3
2026-03-04,W4,Grady,P1_VWA_32_Tub1,6.505,37.667, IMG_0027,0.687,healthy,VWA,32,P1_VWA_32_Tub1,VWA_32_Tub1
2026-03-04,W4,Grady,P2_VWA_32_Tub1,8.432,51.573, IMG_0028,0.544,healthy,VWA,32,P2_VWA_32_Tub1,VWA_32_Tub1
2026-03-04,W4,Grady,P3_VWA_32_Tub1,6.939,34.089, IMG_0028,0.671,healthy,VWA,32,P3_VWA_32_Tub1,VWA_32_Tub1
2026-03-04,W4,Grady,P1_VWA_32_Tub2,5.309,N/A, IMG_0029,0.559,healthy,VWA,32,P1_VWA_32_Tub2,VWA_32_Tub2
2026-03-04,W4,Grady,P2_VWA_32_Tub2,5.611,N/A,IMG_0031,0.512,healthy,VWA,32,P2_VWA_32_Tub2,VWA_32_Tub2
2026-03-04,W4,Grady,P3_VWA_32_Tub2,6.717,38.298,IMG_0032,0.613,healthy,VWA,32,P3_VWA_32_Tub2,VWA_32_Tub2
2026-03-04,W4,Grady,P1_VWA_32_Tub3,7.806,52.862,IMG_0033,0.54,healthy,VWA,32,P1_VWA_32_Tub3,VWA_32_Tub3
2026-03-04,W4,Grady,P2_VWA_32_Tub3,5.856,29.726,IMG_0034,0.444,healthy,VWA,32,P2_VWA_32_Tub3,VWA_32_Tub3
2026-03-04,W4,Grady,P3_VWA_32_Tub3,6.915,38.173,IMG_0035,0.503,healthy,VWA,32,P3_VWA_32_Tub3,VWA_32_Tub3
2026-03-11,W5,Grady,P1_H2_25_Tub1,8.639,,IMG_0001,0.642,healthy,H2,25,P1_H2_25_Tub1,H2_25_Tub1
2026-03-11,W5,Grady,P2_H2_25_Tub1,9.998,,IMG_0002,0.632,healthy,H2,25,P2_H2_25_Tub1,H2_25_Tub1
2026-03-11,W5,Grady,P3_H2_25_Tub1,10.259,,IMG_0003,0.532,healthy,H2,25,P3_H2_25_Tub1,H2_25_Tub1
2026-03-11,W5,Grady,P1_H2_25_Tub2,10.201,,IMG_0004,0.633,healthy,H2,25,P1_H2_25_Tub2,H2_25_Tub2
2026-03-11,W5,Grady,P2_H2_25_Tub2,4.52,,IMG_0005,0.713,healthy,H2,25,P2_H2_25_Tub2,H2_25_Tub2
2026-03-11,W5,Grady,P3_H2_25_Tub2,7.934,,IMG_0006,0.635,healthy,H2,25,P3_H2_25_Tub2,H2_25_Tub2
2026-03-11,W5,Grady,P1_H2_25_Tub3,11.08,,IMG_0007,0.678,healthy,H2,25,P1_H2_25_Tub3,H2_25_Tub3
2026-03-11,W5,Grady,P2_H2_25_Tub3,7.632,,IMG_0007,0.638,healthy,H2,25,P2_H2_25_Tub3,H2_25_Tub3
2026-03-11,W5,Grady,P3_H2_25_Tub3,8.076,,IMG_0008,0.561,healthy,H2,25,P3_H2_25_Tub3,H2_25_Tub3
2026-03-11,W5,Grady,P1_VWA_25_Tub1,7.78,,IMG_0009,0.803,healthy,VWA,25,P1_VWA_25_Tub1,VWA_25_Tub1
2026-03-11,W5,Grady,P2_VWA_25_Tub1,5.688,,IMG_0010,0.712,healthy,VWA,25,P2_VWA_25_Tub1,VWA_25_Tub1
2026-03-11,W5,Grady,P3_VWA_25_Tub1,8.21,,IMG_0011,0.684,healthy,VWA,25,P3_VWA_25_Tub1,VWA_25_Tub1
2026-03-11,W5,Grady,P1_VWA_25_Tub2,8.122,,IMG_0012,0.762,healthy,VWA,25,P1_VWA_25_Tub2,VWA_25_Tub2
2026-03-11,W5,Grady,P2_VWA_25_Tub2,9.65,,IMG_0012,0.644,healthy,VWA,25,P2_VWA_25_Tub2,VWA_25_Tub2
2026-03-11,W5,Grady,P3_VWA_25_Tub2,6.674,,IMG_0013,0.523,healthy,VWA,25,P3_VWA_25_Tub2,VWA_25_Tub2
2026-03-11,W5,Grady,P1_VWA_25_Tub3,8.8,,IMG_0014,0.732,healthy,VWA,25,P1_VWA_25_Tub3,VWA_25_Tub3
2026-03-11,W5,Grady,P2_VWA_25_Tub3,3.292,,IMG_0015,0.534,healthy,VWA,25,P2_VWA_25_Tub3,VWA_25_Tub3
2026-03-11,W5,Grady,P3_VWA_25_Tub3,6.884,,IMG_0016,0.621,healthy,VWA,25,P3_VWA_25_Tub3,VWA_25_Tub3
2026-03-11,W5,Grady,P1_H2_32_Tub1,6.862,,IMG_0017,0.522,healthy,H2,32,P1_H2_32_Tub1,H2_32_Tub1
2026-03-11,W5,Grady,P2_H2_32_Tub1,8.728,,IMG_0018,0.551,healthy,H2,32,P2_H2_32_Tub1,H2_32_Tub1
2026-03-11,W5,Grady,P3_H2_32_Tub1,7.174,,IMG_0019,0.591,healthy,H2,32,P3_H2_32_Tub1,H2_32_Tub1
2026-03-11,W5,Grady,P1_H2_32_Tub2,9.497,,IMG_0020,0.511,healthy,H2,32,P1_H2_32_Tub2,H2_32_Tub2
2026-03-11,W5,Grady,P2_H2_32_Tub2,8.204,,IMG_0021,0.576,healthy,H2,32,P2_H2_32_Tub2,H2_32_Tub2
2026-03-11,W5,Grady,P3_H2_32_Tub2,9.257,,IMG_0022,0.605,healthy,H2,32,P3_H2_32_Tub2,H2_32_Tub2
2026-03-11,W5,Grady,P1_H2_32_Tub3,8.386,,IMG_0023,0.596,healthy,H2,32,P1_H2_32_Tub3,H2_32_Tub3
2026-03-11,W5,Grady,P2_H2_32_Tub3,8.183,,IMG_0024,0.49,healthy,H2,32,P2_H2_32_Tub3,H2_32_Tub3
2026-03-11,W5,Grady,P3_H2_32_Tub3,7.098,,IMG_0023,0.608,healthy,H2,32,P3_H2_32_Tub3,H2_32_Tub3
2026-03-11,W5,Grady,P1_VWA_32_Tub1,7.576,,IMG_0025,0.597,healthy,VWA,32,P1_VWA_32_Tub1,VWA_32_Tub1
2026-03-11,W5,Grady,P2_VWA_32_Tub1,5.18,,IMG_0026,0.576,healthy,VWA,32,P2_VWA_32_Tub1,VWA_32_Tub1
2026-03-11,W5,Grady,P3_VWA_32_Tub1,7.913,,IMG_0025,0.662,healthy,VWA,32,P3_VWA_32_Tub1,VWA_32_Tub1
