,Area,Sample,Image,Channel,Type,Threshold,Percentage,True_Channel,Treatment,Time,Notes
2,0.258,SH_5dpl_sample2_MAX_C1.tif,SH_5dpl_sample2_MAX_C4.tif,Second,Threshold Area,0.003,0.981,EdU,Sym_HS,5dpl,
3,0.258,SH_5dpl_sample2_MAX_C1.tif,SH_5dpl_sample2_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_HS,5dpl,
4,0.258,SH_5dpl_sample2_MAX_C1.tif,SH_5dpl_sample2_MAX_C3.tif,Second,Threshold Area,0.011,4.387,Caspase,Sym_HS,5dpl,
5,0.426,SH_5dpl_sample3_MAX_C1.tif,SH_5dpl_sample3_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_HS,5dpl,
6,0.426,SH_5dpl_sample3_MAX_C1.tif,SH_5dpl_sample3_MAX_C4.tif,Second,Threshold Area,0.06,14.18,EdU,Sym_HS,5dpl,
7,0.426,SH_5dpl_sample3_MAX_C1.tif,SH_5dpl_sample3_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_HS,5dpl,
8,0.426,SH_5dpl_sample3_MAX_C1.tif,SH_5dpl_sample3_MAX_C3.tif,Second,Threshold Area,0.007,1.76,Caspase,Sym_HS,5dpl,
9,0.409,SH_5dpl_sample4_MAX_C1.tif,SH_5dpl_sample4_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_HS,5dpl,
10,0.409,SH_5dpl_sample4_MAX_C1.tif,SH_5dpl_sample4_MAX_C4.tif,Second,Threshold Area,0.034,8.203,EdU,Sym_HS,5dpl,
11,0.409,SH_5dpl_sample4_MAX_C1.tif,SH_5dpl_sample4_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_HS,5dpl,
12,0.409,SH_5dpl_sample4_MAX_C1.tif,SH_5dpl_sample4_MAX_C3.tif,Second,Threshold Area,0.042,10.303,Caspase,Sym_HS,5dpl,
13,0.401,SH_5dpl_sample5_MAX_C1.tif,SH_5dpl_sample5_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_HS,5dpl,
