,Label,Area,Mean,Min,Max,MinThr,MaxThr,Type,%,Region,notes,,plate,well,sym,temp,treatment,day,calculation
79,Snap-463.czi,11720.692,704.209,399,3008,0,65535,Tentacle Area,0,Pedal disc,,,7,S2,inoc,25C,inoc-25C,10,0
80,Snap-462.czi,487.155,2051.855,1147,3962,1147,65535,Symbiont Area,4.156,Pedal disc,,,7,D2,inoc,25C,inoc-25C,10,4.156367218
81,Snap-465.czi,8185.197,896.824,364,3264,0,65535,Tentacle Area,0,Pedal disc,,,7,D3,inoc,25C,inoc-25C,10,0
82,Snap-464.czi,1029.231,1865.697,1085,3179,1085,65535,Symbiont Area,12.574,Pedal disc,,,7,D3,inoc,25C,inoc-25C,10,12.57429723
83,Snap-467.czi,23891.565,639.623,234,2592,0,65535,Tentacle Area,0,Pedal disc,,,7,D4,inoc,25C,inoc-25C,10,0
84,Snap-466.czi,1465.789,1894.855,1029,3242,1029,65535,Symbiont Area,6.135,Pedal disc,,,7,D4,inoc,25C,inoc-25C,10,6.135173648
85,Snap-470.czi,18202.037,1081.122,359,2720,0,65535,Tentacle Area,0,Tentacle,,,7,D4,inoc,25C,inoc-25C,10,0
86,Snap-469.czi,6373.016,1287.887,790,3503,790,65535,Symbiont Area,35.013,Tentacle,,,7,D4,inoc,25C,inoc-25C,10,35.0126527
87,Snap-471.czi,3225.645,724.739,330,1736,0,65535,Tentacle Area,0,Tentacle,,,7,D4,inoc,25C,inoc-25C,10,0
88,Snap-468.czi,1243.51,1383.919,824,2780,824,65535,Symbiont Area,38.551,Tentacle,,,7,D4,inoc,25C,inoc-25C,10,38.55073946
89,Snap-473.czi,23655.015,969.216,452,3311,0,65535,Tentacle Area,0,Pedal disc,,,7,D5,inoc,25C,inoc-25C,10,0
90,Snap-472.czi,2422.369,1498.425,870,3310,870,65535,Symbiont Area,10.24,Pedal disc,,,7,D5,inoc,25C,inoc-25C,10,10.24040357
91,Snap-476.czi,9779.857,1433.684,615,2926,0,65535,Tentacle Area,0,Tentacle,,,7,D5,inoc,25C,inoc-25C,10,0
92,Snap-475.czi,3840.156,2034.551,1276,4018,1276,65535,Symbiont Area,39.266,Tentacle,,,7,D5,inoc,25C,inoc-25C,10,39.26597291
93,Snap-477.czi,4874.793,1295.823,629,2905,0,65535,Tentacle Area,0,Tentacle,,,7,D5,inoc,25C,inoc-25C,10,0
94,Snap-474.czi,2064.733,1742.79,1103,4017,1103,65535,Symbiont Area,42.355,Tentacle,,,7,D5,inoc,25C,inoc-25C,10,42.35529591
95,Snap-479.czi,13779.803,804.259,472,1941,0,65535,Tentacle Area,0,Body column,,,10,A1,inoc,32C,inoc-32C,10,0
96,Snap-478.czi,1123.289,2039.56,1138,3917,1138,65535,Symbiont Area,8.152,Body column,,,10,A1,inoc,32C,inoc-32C,10,8.151705797
97,Snap-483.czi,12660.622,698.967,256,1676,0,65535,Tentacle Area,0,Tentacle,,,10,A1,inoc,32C,inoc-32C,10,0
98,Snap-480.czi,1768.72,1773.444,1012,3913,1012,65535,Symbiont Area,13.97,Tentacle,,,10,A1,inoc,32C,inoc-32C,10,13.9702457
99,Snap-482.czi,16943.175,931.512,445,1839,0,65535,Tentacle Area,0,Tentacle,,,10,A1,inoc,32C,inoc-32C,10,0
100,Snap-481.czi,2194.035,1417.125,794,3945,794,65535,Symbiont Area,12.949,Tentacle,,,10,A1,inoc,32C,inoc-32C,10,12.94937342
101,Snap-487.czi,22576.701,794.018,347,1811,0,65535,Tentacle Area,0,Body column,,,10,A3,inoc,32C,inoc-32C,10,0
102,Snap-486.czi,707.704,1555.585,810,3936,810,65535,Symbiont Area,3.135,Body column,,,10,A3,inoc,32C,inoc-32C,10,3.134665246
103,Snap-489.czi,23147.102,710.762,324,2079,0,65535,Tentacle Area,0,Tentacle,thresholding is off on this one,,10,A4,inoc,32C,inoc-32C,10,0
104,Snap-488.czi,6512.265,91.846,46,3843,46,65535,Symbiont Area,28.134,Tentacle,thresholding is off on this one,,10,A4,inoc,32C,inoc-32C,10,28.13425629
105,Snap-491.czi,18656.974,1687.79,641,3622,0,65535,Tentacle Area,0,Pedal disc,,,10,A5,inoc,32C,inoc-32C,10,0
106,Snap-490.czi,3296.134,104.987,47,3187,47,65535,Symbiont Area,17.667,Pedal disc,,,10,A5,inoc,32C,inoc-32C,10,17.66703432
107,Snap-493.czi,15650.798,711.3,344,2238,0,65535,Tentacle Area,0,Tentacle,,,10,B1,inoc,32C,inoc-32C,10,0
108,Snap-492.czi,220.982,1744.207,908,3861,908,65535,Symbiont Area,1.412,Tentacle,,,10,B1,inoc,32C,inoc-32C,10,1.411953563
109,Snap-494.czi,311524.871,167.478,71,4095,0,65535,Tentacle Area,0,Pedal disc,,,10,C2,inoc,32C,inoc-32C,10,0
110,Snap-494.czi,301.201,952.252,499,3820,499,65535,Symbiont Area,0.097,Pedal disc,,,10,C2,inoc,32C,inoc-32C,10,0.0966860203
111,Snap-497.czi,21769.101,613.569,300,1682,0,65535,Tentacle Area,0,Pedal disc,,,10,C5,inoc,32C,inoc-32C,10,0
112,Snap-496.czi,1169.777,1356.516,731,3289,731,65535,Symbiont Area,5.374,Pedal disc,,,10,C5,inoc,32C,inoc-32C,10,5.373565955
1,Snap-502.czi,15845.833,766.668,321,2212,0,65535,Tentacle Area,0,Tentacle,,,11,A1,inoc,32C,inoc-32C,10,0
2,Snap-501.czi,120.437,1690.752,871,3905,868,65535,Symbiont Area,0.76,Tentacle,,,11,A1,inoc,32C,inoc-32C,10,0.7600547097
3,Snap-505.czi,10479.777,533.436,255,1039,0,65535,Tentacle Area,0,Tentacle,,,11,A2,inoc,32C,inoc-32C,10,0
4,Snap-504.czi,9.514,197.909,47,3889,47,65535,Symbiont Area,0.091,Tentacle,,,11,A2,inoc,32C,inoc-32C,10,0.09078437451
5,Snap-511.czi,15480.845,875.138,360,1922,0,65535,Tentacle Area,0,Tentacle,,,11,B2,inoc,32C,inoc-32C,10,0
